Date,Qsim (cms),Water released (Mm3/d),SSCsim (kt/Mm3),EQ(cms),EWater released (Mm3/d),ESSC(kt/Mm3)
1/1/2021,1303.04,23.37889,0.31449,296.0639479,7.33734,0.009972098
2/1/2021,1329.57,24.34244,0.318606,124.3633062,6.98678,0.021215288
3/1/2021,1380.3,25.2818,0.321991,540.5862263,6.64166,0.01572206
4/1/2021,1367.58,26.19697,0.331327,446.2473803,6.2996,0.033828252
5/1/2021,1292.57,27.08796,0.336592,68.73729548,6.04441,0.020109895
6/1/2021,1218.68,27.95477,0.303911,246.5244684,5.9063,0.030927372
7/1/2021,1227.94,28.79739,0.314079,236.4895313,5.7922,0.033607892
8/1/2021,1224.5,29.61583,0.307107,851.7132448,5.6559,0.018012875
9/1/2021,2580.74,30.41009,0.2766825,1450.649536,5.88019,0.042528179
10/1/2021,2129.91,31.18016,0.263373,814.9581394,6.01867,0.044221563
11/1/2021,1169.59,31.92605,0.36123,380.5001546,5.82775,0.034823017
12/1/2021,2419.54,32.64775,0.305945,456.8009708,5.71716,0.025519428
13/1/2021,1389.09,33.34527,0.312899,311.9419205,5.60063,0.022809775
14/1/2021,1236.86,34.01861,0.36216,47.45340645,5.41146,0.011456096
15/1/2021,1181.16,34.66776,0.351265,23.60788839,5.25687,0.005284502
16/1/2021,1118.93,35.29273,0.356864,16.91438678,5.16077,0.006728181
17/1/2021,1135.01,36.07249,0.35427,250.8410164,5.03459,0.008282305
18/1/2021,1121.58,36.73295,0.385923,558.1764158,5.00034,0.026358963
19/1/2021,1114.49,37.27854,0.369913,521.7637041,4.72201,0.033607257
20/1/2021,1089.17,37.70056,0.369191,42.90961706,4.5215,0.020224897
21/1/2021,1044.44,38.08908,0.382545,142.6386877,4.41695,0.029330301
22/1/2021,1003.37,38.47628,0.388212,3.268376661,4.41216,0.009708137
23/1/2021,1032,38.86422,0.378746,8.971032048,4.41324,0.007323514
24/1/2021,976.89,39.21719,0.406406,26.88773761,4.24735,0.012155002
25/1/2021,1040.49,39.61262,0.377308,61.86664557,3.96149,0.009947367
26/1/2021,1079.09,40.04021,0.375616,177.7689514,3.90614,0.028213614
27/1/2021,1077.535,40.36832,0.4117415,23.00117619,3.81495,0.009607916
28/1/2021,1055.84,40.64644,0.42332,51.56695098,3.48254,0.014420265
29/1/2021,1073.8,40.88932,0.394499,22.84267279,3.442,0.012358451
30/1/2021,1020.89,40.94672,0.401398,25.60906529,3.43742,0.011095294
31/1/2021,990.32,40.99348,0.420433,16.27732245,3.45863,0.012515864
1/2/2021,998.75,41.07879,0.255684,25.66435088,3.50043,0.011481673
2/2/2021,952.64,41.10331,0.2482295,26.36060713,3.34662,0.008082804
3/2/2021,967.88,41.07121,0.242973,199.0977504,3.26285,0.009781715
4/2/2021,989.65,41.04512,0.261971,337.6167171,3.17882,0.022084588
5/2/2021,1013.32,40.99615,0.250064,357.8036824,3.21164,0.022010892
6/2/2021,1030.11,40.79007,0.264509,880.255446,3.22961,0.029883792
7/2/2021,958.88,40.62677,0.270563,49.52239447,3.25173,0.010738277
8/2/2021,933.68,40.41104,0.256481,23.26626988,3.22859,0.008475347
9/2/2021,1076.69,40.22899,0.245511,759.7887179,2.90043,0.02288347
10/2/2021,1045.19,40.16719,0.237545,75.18354989,2.56253,0.011081908
11/2/2021,950.18,40.22002,0.2424,25.17525007,2.80594,0.00706005
12/2/2021,948.29,40.46957,0.239815,31.50201305,3.01583,0.005724554
13/2/2021,1005.58,40.9838,0.259449,29.60301427,3.21435,0.009658854
14/2/2021,1053.51,41.70146,0.247251,483.2239578,4.08279,0.018501881
15/2/2021,969.36,42.59442,0.25784,76.5504607,4.19229,0.015595526
16/2/2021,917.51,43.65208,0.256963,52.52972772,4.23879,0.012771368
17/2/2021,884.94,44.85375,0.279889,19.42231974,4.29586,0.00330204
18/2/2021,940.9,46.25451,0.280464,26.00773662,4.47194,0.002529896
19/2/2021,880.62,47.83167,0.266415,70.03720807,4.36311,0.007085136
20/2/2021,893.55,49.61792,0.293179,38.91117942,4.45082,0.005130406
21/2/2021,785.595,51.6028,0.3039035,73.84053189,4.8799,0.009146657
22/2/2021,849.24,53.79603,0.282409,206.5024838,4.86409,0.013670321
23/2/2021,886.34,56.14981,0.292913,164.7136032,5.62378,0.009386957
24/2/2021,955.14,58.6826,0.276283,251.1240331,6.22675,0.026928835
25/2/2021,920.25,61.36244,0.265377,278.7860033,6.46146,0.0252647
26/2/2021,1009.28,64.12653,0.266238,102.1736697,6.69701,0.01354315
27/2/2021,901.1,67.11011,0.273095,146.999471,6.83842,0.018499048
28/2/2021,862.7,70.2413,0.280149,1235.345293,6.98353,0.034228623
1/3/2021,821.2,73.44518,0.26204,34.25343876,7.12776,0.004535852
2/3/2021,810.44,76.83949,0.25135,190.3292361,7.21332,0.020725966
3/3/2021,827.94,80.18106,0.243571,39.93957153,7.1995,0.003797894
4/3/2021,910.55,83.43179,0.255583,95.1590304,7.16258,0.00843532
5/3/2021,886.73,86.6096,0.242238,162.1311128,7.15647,0.005965336
6/3/2021,966.905,89.69348,0.2416965,166.9855653,7.14548,0.011695741
7/3/2021,849.665,92.6357,0.2442955,55.52190024,7.19226,0.005254439
8/3/2021,832.98,95.56511,0.250891,16.60038241,7.09527,0.008020297
9/3/2021,1054.635,98.52772,0.238011,158.4884199,6.74082,0.026319288
10/3/2021,805.71,101.30315,0.243487,37.13608927,6.26645,0.005555902
11/3/2021,839.77,104.07083,0.245327,62.87242141,5.81381,0.007371969
12/3/2021,825.57,106.82894,0.265226,33.34322576,5.48663,0.011201614
13/3/2021,856.23,109.5048,0.268467,44.62425343,5.28123,0.008988197
14/3/2021,799.89,112.14243,0.262654,53.37316558,5.1771,0.004574192
15/3/2021,871.06,114.68811,0.276377,37.67631452,5.07734,0.006385147
16/3/2021,884.24,117.08231,0.259317,23.58485756,4.96379,0.004603325
17/3/2021,900.51,119.30585,0.255223,122.6489813,5.01208,0.004343296
18/3/2021,880.48,121.32775,0.260152,66.76172688,5.04953,0.007741581
19/3/2021,826.71,123.09387,0.271603,26.8135258,4.94865,0.005192155
20/3/2021,813.46,124.57172,0.265974,33.20150259,4.59681,0.006505068
21/3/2021,802.46,125.7023,0.259505,33.01021427,4.48736,0.005589723
22/3/2021,771.26,126.57411,0.273366,27.72206118,3.89802,0.003328862
23/3/2021,788.68,127.22386,0.278876,23.25161169,3.6918,0.00418498
24/3/2021,829.94,127.64604,0.267757,147.78073,3.67657,0.022461261
25/3/2021,823.46,127.7827,0.267953,17.49978331,3.00201,0.003864512
26/3/2021,797.31,127.67212,0.28307,21.5243405,3.0106,0.002967905
27/3/2021,865.04,127.32854,0.282314,41.65932993,2.98893,0.015477459
28/3/2021,827.78,126.79924,0.281885,244.4382331,2.98061,0.027409124
29/3/2021,1137.24,126.209,0.249884,182.8167852,3.44645,0.029442012
30/3/2021,971.83,125.32251,0.24891,144.2955579,4.38066,0.00663429
31/3/2021,793.51,124.18773,0.284425,187.1831469,5.12004,0.010534037
1/4/2021,902.14,122.92767,0.433252,338.71621,5.74457,0.023963852
2/4/2021,1062.05,121.60292,0.438424,479.6825849,6.46925,0.029166674
3/4/2021,1137.44,120.35701,0.40996,173.4649836,6.94161,0.022469497
4/4/2021,1028.85,119.17553,0.382743,162.5755361,7.10265,0.014858303
5/4/2021,843.44,117.91233,0.432258,47.93851245,7.06879,0.008371155
6/4/2021,916.26,116.63795,0.421609,69.28593191,6.94987,0.011083938
7/4/2021,973.42,115.42822,0.406572,43.37419525,6.77472,0.017218868
8/4/2021,980.22,114.19472,0.394347,169.3328982,6.65031,0.038637989
9/4/2021,1134.18,112.9568,0.371455,195.3727146,6.65423,0.042731871
10/4/2021,953.72,111.83095,0.408788,217.4639968,6.70944,0.042751069
11/4/2021,892.665,110.79248,0.4028975,96.33788477,6.76306,0.033960081
12/4/2021,893.44,109.88637,0.440453,195.932514,6.76224,0.030790799
13/4/2021,833.18,109.07648,0.430239,32.33090833,6.75891,0.004727198
14/4/2021,963.84,108.28176,0.417322,278.1784955,6.77692,0.069234823
15/4/2021,914.89,107.45262,0.4078295,35.54085853,6.81727,0.010683206
16/4/2021,953.75,106.67119,0.388331,38.07543888,6.81817,0.008178181
17/4/2021,969.17,105.90293,0.390923,226.2296164,7.01435,0.025504561
18/4/2021,871.57,105.06955,0.438144,175.8071179,6.99883,0.034496493
19/4/2021,1034.93,104.20132,0.39142,149.7312758,6.98944,0.027244708
20/4/2021,996.2,103.36508,0.379341,112.7239571,6.94073,0.021227322
21/4/2021,964.67,102.73721,0.404331,75.75140655,6.77222,0.014790826
22/4/2021,1148.43,102.34986,0.381963,74.4253316,6.64228,0.013993566
23/4/2021,1322.4,102.23182,0.34158,133.2794403,6.66269,0.016960038
24/4/2021,996.13,102.22569,0.403181,369.3640651,6.64988,0.042693721
25/4/2021,958.53,102.29574,0.403299,161.0329013,6.69118,0.021260015
26/4/2021,1066.59,102.56275,0.385211,179.3286219,6.65067,0.034280181
27/4/2021,1049.38,102.93957,0.379413,147.7545114,6.556,0.034430908
28/4/2021,1170.89,103.23355,0.377601,192.6821831,6.65603,0.040929437
29/4/2021,978.68,103.43481,0.388705,124.9083255,6.64513,0.031671807
30/4/2021,991.99,103.82411,0.39784,23.5861768,6.38645,0.003128793
1/5/2021,997.63,104.39942,0.422612,81.19659338,6.18887,0.01131099
2/5/2021,921.03,105.12788,0.450399,293.3260438,5.90932,0.036610389
3/5/2021,1744.47,105.74523,0.300478,314.3569221,5.35298,0.044282597
4/5/2021,1562.01,105.93067,0.275289,384.9926251,4.87901,0.043244948
5/5/2021,1197.85,105.6334,0.407294,105.8708795,4.68571,0.023248013
6/5/2021,1049.4,105.16841,0.412271,60.85414789,4.65795,0.01704524
7/5/2021,1009.57,104.58507,0.441378,136.6885252,5.06741,0.026510453
8/5/2021,1173.79,103.8857,0.379071,301.4997979,6.69554,0.034584077
9/5/2021,1220.08,103.00531,0.375658,306.4073047,6.95298,0.03334326
10/5/2021,1157.9,101.81449,0.376261,46.3893856,6.91737,0.009766478
11/5/2021,1097.99,100.27556,0.376288,33.38310375,7.19104,0.007271031
12/5/2021,1170.63,98.34695,0.357446,76.03697978,7.1215,0.021409998
13/5/2021,1231.71,96.08044,0.395603,98.08042764,7.22587,0.024167021
14/5/2021,1257.95,93.68082,0.353309,490.8282515,7.27923,0.029423448
15/5/2021,1050.43,90.93863,0.402919,1360.723305,7.53036,0.050638936
16/5/2021,1701.92,88.1025,0.285625,703.5693698,7.88171,0.060364106
17/5/2021,1720.73,84.9792,0.314116,552.1845755,9.69522,0.06485717
18/5/2021,1128.89,81.59439,0.441888,844.4324082,11.07085,0.066138029
19/5/2021,1679.05,77.8792,0.319156,309.1927053,11.06378,0.038177924
20/5/2021,1379.71,74.02087,0.378334,528.7357656,11.0368,0.038147405
21/5/2021,1420.67,70.08324,0.403666,1187.23814,11.16133,0.0523043
22/5/2021,1963.68,65.74543,0.340332,818.116072,11.84836,0.0419385
23/5/2021,2061.65,61.08475,0.324488,598.2175122,12.75028,0.040145764
24/5/2021,1385.64,56.04633,0.387172,398.3206033,13.23851,0.032996267
25/5/2021,1535.11,50.71294,0.375572,219.7330992,13.26716,0.032235431
26/5/2021,1846.15,45.15644,0.348573,329.7224341,13.00261,0.052897886
27/5/2021,1272.74,39.36824,0.371028,438.7387542,12.65543,0.028032572
28/5/2021,1330.99,33.46833,0.368704,235.1150283,13.17623,0.01131603
29/5/2021,2061.93,27.44669,0.286599,405.5947474,14.26237,0.026212353
30/5/2021,2189.48,21.14103,0.317702,778.6088214,14.13504,0.034302812
31/5/2021,2595.79,14.43234,0.323358,428.82592,15.40262,0.026291003
1/6/2021,3569.8,7.37225,0.874296,577.4202537,16.46105,0.103179977
2/6/2021,2679.13,-0.35526,0.801363,488.0602294,17.24073,0.071548158
3/6/2021,2015.09,-8.54626,0.796238,492.1179265,16.87839,0.071174097
4/6/2021,1590.95,-16.43061,0.776237,382.6315067,16.70597,0.026115475
5/6/2021,2237.38,-24.11868,0.766718,556.3171349,16.64454,0.087891063
6/6/2021,2415.42,-31.52798,0.751775,539.5170569,16.00359,0.090787663
7/6/2021,2995.11,-39.08374,0.689714,614.7375006,16.18179,0.077613293
8/6/2021,2643.9,-46.89489,0.77178,1161.558494,17.79503,0.089146344
